Name,TB_WNM,TB_WNM_std,velocity_TB,velocity_TB_std,fwhm,fwhm_std,T_k_max,NHI_w,NHI_w_std,F
J053943-693847,42.21,1.64,238.49,0.73,27.26,2.06,16254,22.33,1.90,0.5
J053952-694509,16.59,1.21,258.79,1.94,49.57,1.50,53731,15.96,1.26,0.5
J053952-694509,67.94,1.56,239.17,0.10,29.40,0.47,18903,38.77,1.08,0.5
J054002-690619,19.91,3.72,249.50,0.90,27.18,2.02,16158,10.50,2.11,0.5
J054002-690619,28.59,3.29,266.49,1.58,44.42,0.88,43153,24.65,2.87,0.0
J054002-722215,7.12,0.57,256.57,0.19,9.03,0.63,1783,1.25,0.13,0.0
J054002-722215,21.81,0.17,245.73,0.14,37.53,0.24,30793,15.88,0.16,1.0
J054004-694438,67.78,3.09,235.57,0.27,20.37,0.72,9070,26.79,1.54,0.5
J054004-694438,16.57,0.86,255.23,0.85,55.34,0.93,66956,17.79,0.97,0.5
J054006-694511,15.58,1.41,257.44,2.19,52.45,1.58,60159,15.86,1.52,1.0
J054006-694511,65.55,1.64,237.35,0.31,28.68,1.06,17991,36.48,1.62,1.0
J054009-691951,16.62,0.85,280.72,2.26,46.67,2.50,47616,15.05,1.12,0.0
J054009-691951,38.84,3.09,251.08,0.40,17.51,1.42,6707,13.20,1.50,0.5
J054009-694025,33.66,2.92,253.34,1.95,46.16,1.34,46592,30.15,2.76,0.0
J054009-694025,27.59,3.52,235.69,0.50,28.78,2.21,18117,15.41,2.30,0.0
J054020-712405,27.28,2.83,225.79,1.79,32.32,1.35,22847,17.11,1.91,1.0
J054020-712405,38.41,2.90,211.63,0.54,19.84,1.26,8609,14.79,1.46,0.5
J054020-712405,18.16,0.26,261.71,0.31,24.42,0.56,13042,8.61,0.23,0.0
J054021-712441,15.27,0.31,251.87,1.51,41.15,2.19,37029,12.19,0.69,0.0
J054021-712441,18.92,1.67,229.97,0.55,15.07,1.01,4965,5.53,0.61,1.0
J054021-712441,36.02,2.90,208.66,0.95,17.78,0.84,6916,12.43,1.16,0.0
J054021-712441,6.35,0.59,263.33,0.20,11.77,0.87,3030,1.45,0.17,1.0
J054024-694014,15.57,5.26,264.40,7.36,42.03,5.71,38630,12.70,4.62,0.0
J054024-694014,55.27,6.70,239.40,1.46,35.95,1.20,28264,38.56,4.85,0.5
J054150-733215,1.16,0.10,201.43,1.27,31.15,3.12,21218,0.70,0.09,1.0
J054150-733215,6.09,0.11,259.99,0.26,33.53,0.63,24586,3.96,0.10,0.0
J054306-710403,17.41,1.90,212.88,0.20,17.69,0.87,6845,5.98,0.72,0.5
J054306-710403,17.47,0.52,264.93,1.17,47.95,1.58,50273,16.26,0.72,0.5
J054306-710403,16.21,1.48,219.78,1.59,36.28,2.43,28787,11.41,1.29,0.0
J054309-710424,22.91,1.92,262.56,0.55,10.35,0.85,2343,4.60,0.54,0.0
J054309-710424,19.78,0.59,259.80,0.56,53.07,1.60,61573,20.36,0.86,0.0
J054309-710424,28.36,0.43,214.56,0.15,22.75,0.37,11312,12.52,0.28,1.0
J054314-680654,5.61,0.26,293.79,1.13,54.00,1.61,63768,5.88,0.33,0.0
J054314-680654,21.58,0.63,277.55,0.20,17.97,0.57,7058,7.52,0.33,0.0
J054314-684436,55.55,0.32,267.31,0.13,33.35,0.23,24323,35.95,0.32,0.5
J054314-684436,8.97,0.23,303.67,0.37,19.43,0.80,8253,3.38,0.16,1.0
J054317-662655,5.02,0.37,283.82,0.40,43.56,1.52,41488,4.24,0.34,0.0
J054317-662655,22.48,0.35,285.96,0.06,16.37,0.25,5858,7.14,0.15,0.0
J054424-685820,15.21,1.76,287.03,0.45,17.36,1.26,6592,5.13,0.70,1.0
J054424-685820,18.56,3.80,286.72,2.63,38.58,2.33,32552,13.90,2.97,1.0
J054424-685820,20.92,2.65,253.43,2.98,46.80,2.90,47883,18.99,2.68,0.5
J054424-685820,13.36,1.22,245.10,0.33,16.44,1.03,5908,4.26,0.47,0.0
J054427-715528,8.13,0.37,274.26,0.53,27.16,0.93,16133,4.29,0.25,0.0
J054427-715528,12.31,0.15,239.36,0.73,43.94,1.32,42226,10.50,0.34,0.0
J054504-693928,22.23,0.21,281.64,0.19,38.03,0.49,31631,16.40,0.26,1.0
J054504-693928,59.52,0.40,233.94,0.06,23.75,0.16,12333,27.43,0.26,1.0
J054539-661715,4.44,0.28,280.28,0.70,46.22,1.90,46720,3.98,0.30,0.0
J054539-661715,43.76,0.37,285.28,0.04,12.45,0.11,3391,10.57,0.13,0.5
J054552-684612,15.67,1.41,252.69,0.22,17.99,1.28,7073,5.47,0.63,1.0
J054552-684612,38.49,0.28,277.42,0.40,47.56,0.50,49464,35.52,0.45,0.5
J054552-684612,13.37,0.36,293.00,0.10,8.96,0.30,1757,2.33,0.10,1.0
J054608-712741,19.57,0.22,270.56,0.20,33.27,0.51,24196,12.63,0.24,1.0
J054608-712741,30.31,0.23,220.51,0.15,30.13,0.35,19844,17.72,0.25,1.0
J054623-665544,15.31,0.65,283.54,0.13,16.50,0.38,5956,4.90,0.24,1.0
J054629-702643,29.13,1.12,214.29,0.26,21.91,0.53,10497,12.39,0.56,0.0
J054629-702643,15.51,1.36,281.39,1.26,29.93,1.54,19593,9.01,0.92,1.0
J054629-702643,16.35,0.30,247.31,1.12,39.76,5.03,34565,12.61,1.61,0.0
J055033-682053,26.47,0.55,291.66,0.33,37.18,0.75,30224,19.10,0.55,0.0
J055130-691631,8.52,0.34,268.25,0.25,12.38,0.61,3352,2.05,0.13,1.0
J055130-691631,3.05,0.16,227.93,0.84,32.47,2.06,23051,1.92,0.16,1.0
J055130-691631,31.41,0.27,294.02,0.27,27.13,0.72,16099,16.54,0.46,0.0
J055130-691631,4.66,0.31,323.11,1.78,25.31,3.85,14003,2.29,0.38,1.0
J055139-684315,12.28,1.05,284.48,0.28,15.84,1.10,5489,3.78,0.42,0.0
J055139-684315,16.47,0.28,301.85,0.52,42.21,0.68,38967,13.50,0.32,0.0
J055142-684302,16.53,0.20,301.20,0.30,43.51,0.60,41401,13.96,0.26,1.0
J055206-681440,16.06,0.39,283.57,0.12,29.96,0.41,19623,9.34,0.26,1.0
J055206-681440,4.32,0.13,318.37,0.23,14.47,0.55,4577,1.21,0.06,1.0
J055206-681440,15.33,0.62,283.20,0.25,8.34,0.46,1521,2.48,0.17,0.5
