Name,RA_deg,Dec_deg,NHI_c,NHI_c_std,NHI_w,NHI_w_std,NHI_u,NHI_u_std,f_c,f_c_std,Tsky,Note,LMC_x
J053745-691008,84.44,-69.17,15.78,3.67,37.15,3.63,0.00,0.00,0.30,0.05,28.59,"in 30 Dor, 11"" from PSR J0537-6910, bright X-ray",(LMC)
J053804-695337,84.52,-69.89,18.02,6.32,43.28,2.36,0.00,0.00,0.29,0.07,5.72,?,(x)
J053822-704114,84.59,-70.69,3.35,0.79,30.18,0.45,0.00,0.00,0.10,0.02,3.63,? (next to young star cluster NGC2075 in N213),?
J053929-700327,84.87,-70.06,7.42,3.71,49.92,3.13,0.00,0.00,0.13,0.06,5.00,?,(x)
J053937-694612,84.91,-69.77,25.47,7.02,56.22,1.85,0.00,0.00,0.31,0.06,13.74,almost certainly YSO / HII in N159,(LMC)
J053940-694619,84.92,-69.77,40.68,6.10,30.94,1.18,0.00,0.00,0.57,0.04,11.20,? (next to young star cluster NGC2079 in N159),?
J053943-693847,84.93,-69.65,20.85,4.78,50.68,2.57,0.00,0.00,0.29,0.05,11.03,"YSO / HII (in N160) at 4""",LMC
J053952-694509,84.97,-69.75,55.29,15.68,54.72,1.66,0.00,0.00,0.50,0.07,17.50,? (in N159),?
J054002-690619,85.01,-69.11,22.40,2.76,35.15,3.57,0.00,0.00,0.39,0.04,9.87,? (Spitzer + X-ray),(x)
J054002-722215,85.01,-72.37,1.26,0.54,17.13,0.21,0.00,0.00,0.07,0.03,2.73,? (green Spitzer),(x)
J054004-694438,85.02,-69.74,51.87,14.19,44.58,1.82,0.00,0.00,0.54,0.07,16.88,YSO / HII (in N159),LMC
J054006-694511,85.03,-69.75,56.36,13.30,52.35,2.22,0.00,0.00,0.52,0.06,17.87,?,(x)
J054009-691951,85.04,-69.33,20.87,3.37,28.25,1.87,0.00,0.00,0.42,0.04,15.00,"PSR B0540-69 (at 8"")",LMC
J054009-694025,85.04,-69.67,8.15,3.25,45.57,3.59,0.00,0.00,0.15,0.05,6.16,?,?
J054020-712405,85.09,-71.40,5.72,3.33,40.51,2.42,0.00,0.00,0.12,0.06,4.88,?,(x)
J054021-712441,85.09,-71.41,16.91,3.74,31.61,1.50,0.00,0.00,0.35,0.05,4.82,"? (green Spitzer-only at ~14"")",(x)
J054024-694014,85.10,-69.67,19.40,4.13,51.25,6.70,0.00,0.00,0.27,0.05,5.58,compact HII region?,(LMC)
J054150-733215,85.46,-73.54,0.21,0.02,4.67,0.14,0.00,0.00,0.04,0.00,2.73,known QSO,x
J054306-710403,85.78,-71.07,13.60,1.88,33.65,1.64,0.00,0.00,0.29,0.03,4.74,?,(x)
J054309-710424,85.79,-71.07,5.70,1.68,37.48,1.05,0.00,0.00,0.13,0.03,4.74,?,(x)
J054314-680654,85.81,-68.12,1.23,0.26,13.40,0.46,0.00,0.00,0.08,0.02,4.91,? (dim green Spitzer),(x)
J054314-684436,85.81,-68.74,6.03,1.99,39.33,0.36,0.00,0.00,0.13,0.04,4.39,? (dim green Spitzer),(x)
J054317-662655,85.82,-66.45,1.42,0.31,11.38,0.38,0.00,0.00,0.11,0.02,3.86,? (Spitzer + X-ray),(x)
J054424-685820,86.10,-68.97,9.36,2.83,42.28,4.08,0.00,0.00,0.18,0.05,4.64,?,(x)
J054427-715528,86.11,-71.92,1.12,0.15,14.78,0.42,0.00,0.00,0.07,0.01,2.73,"? (dim green Spitzer, dim X-ray?)",(x)
J054504-693928,86.27,-69.66,11.93,7.30,43.83,0.37,0.00,0.00,0.21,0.10,4.27,?,(x)
